step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
61,0.12200000579468906,0.4969501495361328,1.600369081700137e-08,8.543141802874743e-07,122.49251556396484,-5.838055594509228e-10,3.919335256341583e-08,8.181246757507324,5219.601958645186
62,0.12400000588968396,0.5017485618591309,1.5523589524946146e-08,8.597533565080084e-07,122.50849151611328,-5.577954764746096e-10,3.02629814541433e-08,9.269576072692871,5275.657915386628
63,0.12600000598467886,0.5062439441680908,1.497545909501241e-08,8.645941989016137e-07,122.52659606933594,-5.783721279684073e-10,3.175823337642214e-08,10.311502456665039,5340.655922910783
64,0.12800000607967377,0.510930061340332,1.4359247124673402e-08,8.688538173373672e-07,122.5467300415039,-3.969244932733318e-10,4.833207967180897e-08,11.303550720214844,5414.8469276566175
65,0.13000000617466867,0.5305039882659912,1.3673483678644516e-08,8.72570581123e-07,122.56879425048828,-5.238576239463555e-10,3.589200048281782e-08,12.243152618408203,5498.554370660209
66,0.13200000626966357,0.53558349609375,1.2918890845980968e-08,8.757286877880688e-07,122.59268188476562,-5.438385297651394e-10,3.49277549105409e-08,13.12829875946045,5592.146912680896
67,0.13400000636465847,0.5401253700256348,1.2093915202626704e-08,8.78373668911081e-07,122.6182861328125,-5.991646068181922e-10,3.498395528822584e-08,13.957191467285156,5696.068752422615
68,0.13600000645965338,0.545494794845581,1.1197510474403316e-08,8.805106403997343e-07,122.64547729492188,-6.206801739239154e-10,3.3421432732438916e-08,14.72731876373291,5810.745630585338
69,0.13800000655464828,0.550682783126831,1.0228456304162137e-08,8.821314736451313e-07,122.67415618896484,-5.984591711083453e-10,3.7576825206997455e-08,15.438660621643066,5936.808832610942
70,0.14000000664964318,0.5555343627929688,9.183296789672113e-09,8.833013112052868e-07,122.70419311523438,-6.556757914388811e-10,2.8109845118251542e-08,16.08892250061035,6074.842355164472
71,0.14200000674463809,0.5610408782958984,8.058605338590041e-09,8.840090686135227e-07,122.73546600341797,-5.959039928171705e-10,3.5646685603296646e-08,16.67740249633789,6225.545182199467
72,0.144000006839633,0.565892219543457,6.851355038861584e-09,8.842525289765035e-07,122.76785278320312,-5.724897778058846e-10,3.6948978987538794e-08,17.204118728637695,6389.705042674518
73,0.1460000069346279,0.5890021324157715,5.55879520192093e-09,8.840194141157554e-07,122.80122375488281,-6.158306087300502e-10,3.956577643293713e-08,17.6679630279541,6568.162439659796
74,0.1480000070296228,0.5937612056732178,4.178918544539556e-09,8.833259244056535e-07,122.83545684814453,-6.345459158119127e-10,4.238934536715533e-08,18.069120407104492,6761.8935480690225
75,0.1500000071246177,0.5983221530914307,2.7087092568933713e-09,8.821945698400668e-07,122.87042999267578,-6.719902412299916e-10,3.4673107052185514e-08,18.407794952392578,6971.981049335439
76,0.1520000072196126,0.6031851768493652,1.1463875404515989e-09,8.806707114672463e-07,122.90602111816406,-5.438690608983165e-10,4.544099851955252e-08,18.683639526367188,7199.621042022453
77,0.1540000073146075,0.6084816455841064,-5.0767279269337e-10,8.787433785073517e-07,122.94209289550781,-6.411540742767841e-10,3.4863049336308904e-08,18.89662742614746,7446.022063294438
78,0.1560000074096024,0.6132845878601074,-2.254273212543012e-09,8.764164363128657e-07,122.97853088378906,-6.453521605997992e-10,3.800402836873218e-08,19.047887802124023,7712.6612482380115
79,0.1580000075045973,0.6184916496276855,-4.094947048116637e-09,8.737257530810894e-07,123.01520538330078,-6.439054289764101e-10,3.738533038699643e-08,19.137935638427734,8001.034931746587
80,0.1600000075995922,0.6232712268829346,-6.028917809430823e-09,8.706425091986603e-07,123.05199432373047,-6.290051812740671e-10,3.763868150485905e-08,19.16740608215332,8312.81814728914
81,0.1620000076945871,0.6439330577850342,-8.056435518710714e-09,8.671559612594137e-07,123.08878326416016,-6.6297634049306e-10,3.3978551527980017e-08,19.137548446655273,8649.885688818627
82,0.16400000778958201,0.649024486541748,-1.017892525823072e-08,8.633237484900746e-07,123.12545013427734,-6.158558663038605e-10,3.80156386370345e-08,19.049541473388672,9014.179170135389
83,0.16600000788457692,0.6541826725006104,-1.2396911941436883e-08,8.591547384639853e-07,123.1618881225586,-6.440259436857332e-10,3.898613343267243e-08,18.904565811157227,9407.924491718417
84,0.16800000797957182,0.6590046882629395,-1.471085298021535e-08,8.546890057914425e-07,123.19796752929688,-6.61327992368399e-10,3.372574397531025e-08,18.703479766845703,9833.21915686837
85,0.17000000807456672,0.6636154651641846,-1.712234976025684e-08,8.499293926433893e-07,123.23359680175781,-6.920536366195051e-10,3.9563648357443526e-08,18.448984146118164,10292.706183710226
86,0.17200000816956162,0.669379472732544,-1.963237750146618e-08,8.449172810287564e-07,123.26866149902344,-6.509858763159571e-10,3.4819713334854896e-08,18.141977310180664,10788.85987581809
87,0.17400000826455653,0.6742391586303711,-2.2240929098416018e-08,8.397222472922294e-07,123.30305480957031,-4.972013356585592e-10,4.951877130565663e-08,17.784311294555664,11324.288343828439
88,0.17600000835955143,0.6791346073150635,-2.4947279797515876e-08,8.343454283021856e-07,123.33668518066406,-6.233273341926804e-10,3.536526094194414e-08,17.37793731689453,11901.849585782385
89,0.17800000845454633,0.6984853744506836,-2.7753296549803963e-08,8.28783925044263e-07,123.36945343017578,-7.641577925987519e-10,2.6308025979915328e-08,16.924854278564453,12524.235763943847
90,0.18000000854954123,0.7045915126800537,-3.066070775048502e-08,8.230896924033004e-07,123.4012680053711,-6.567494881259961e-10,3.3368266372235666e-08,16.427038192749023,13194.118440798842
91,0.18200000864453614,0.7093803882598877,-3.3670286114784176e-08,8.172219736479747e-07,123.43204498291016,-6.801617602469889e-10,3.1714296966356414e-08,15.886859893798828,13914.066956133589
92,0.18400000873953104,0.7142784595489502,-3.678328397427322e-08,8.11221070762258e-07,123.46170043945312,-6.330991841885236e-10,3.310631768727035e-08,15.306633949279785,14686.231917992063
93,0.18600000883452594,0.7196626663208008,-4.0000671219786454e-08,8.050769224610121e-07,123.49015045166016,-6.272313779476235e-10,3.6509590017885785e-08,14.688385009765625,15512.087463996502
94,0.18800000892952085,0.724482536315918,-4.332362379955157e-08,7.988396077962534e-07,123.51732635498047,-6.642289496205933e-10,3.281765259544045e-08,14.035252571105957,16392.616149543435
95,0.19000000902451575,0.7299489974975586,-4.675298015399676e-08,7.925020213406242e-07,123.54316711425781,-6.117197859367707e-10,3.593532937884447e-08,13.349371910095215,17327.893268647666
